Chromosome	start	end	name	score	strand	thickStart	thickEnd	itemRgb
chr1	744000	744037	chr1.1	1000	.	.	.	255,127,0
chr1	752582	752656	chr1.2	0	.	.	.	0,0,255
chr1	795274	795330	chr1.3	0	.	.	.	0,0,255
chr1	799061	799101	chr1.4	1000	.	.	.	255,127,0
chr1	830102	830182	chr1.5	0	.	.	.	0,0,255
chr1	830679	830716	chr1.6	0	.	.	.	0,0,255
chr1	831917	832072	chr1.7	0	.	.	.	0,0,255
chr1	835110	835293	chr1.8	1000	.	.	.	255,127,0
chr1	835600	835710	chr1.9	1000	.	.	.	255,127,0
chr1	836081	836146	chr1.10	1000	.	.	.	255,127,0
